date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:55	16306/16306	---M--	200	added ('OK')	image/png	etag:%2244b06c921fabd01:0%22	http://davtonia.com/blackhalo/wp-content/uploads/2014/06/BlackHalo2.small_.png	C:/My%20Web%20Sites/BlackHalo/davtonia.com/blackhalo/wp-content/uploads/2014/06/BlackHalo2.small_.png	(from http://blackhalo.info/)
00:02:10	82433/82433	---M--	200	added ('OK')	image/jpeg	etag:%22d755dc52c565d01:0%22	http://www.davtonia.com/blackhalo/images/BlackHalo.jpg	C:/My%20Web%20Sites/BlackHalo/www.davtonia.com/blackhalo/images/BlackHalo.jpg	(from http://blackhalo.info/)
00:02:10	364/364	---M--	403	error ('Forbidden')	text/html	date:Sun,%2023%20Apr%202017%2007:02:31%20GMT	http://www.greengeeks.com/greentags/greengeeks_hosted_seal.gif	C:/My%20Web%20Sites/BlackHalo/www.greengeeks.com/greentags/greengeeks_hosted_seal.21.delayed	(from http://blackhalo.info/)
00:02:11	22091/22091	---M--	200	added ('OK')	application/x-javascript	etag:%22435c1821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/plugins/prettyphoto/jquery.prettyPhoto.min.js?ver=3.1.5	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/plugins/prettyphoto/jquery.prettyPhoto.minc6bd.js	(from http://blackhalo.info/)
00:02:12	2536/2536	---M--	200	added ('OK')	application/x-javascript	etag:%2268afb7821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.scrollTo.min.js?ver=1.4.6	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.scrollTo.min5f04.js	(from http://blackhalo.info/)
00:02:12	5716/5716	---M--	200	added ('OK')	application/x-javascript	etag:%2263a91b21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/tabs.collapse.min.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/tabs.collapse.min5152.js	(from http://blackhalo.info/)
00:02:12	349/349	---M--	200	added ('OK')	application/x-javascript	etag:%223590f81a21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.visible.min.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.visible.min5152.js	(from http://blackhalo.info/)
00:02:12	1262/1262	---M--	200	added ('OK')	application/x-javascript	etag:%2267cdf31a21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.appear.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.appear5152.js	(from http://blackhalo.info/)
00:02:13	1819/1819	---M--	200	added ('OK')	application/x-javascript	etag:%22ce2ef61a21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.fitvids.js?ver=1.0.3	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/jquery.fitvids4bf4.js	(from http://blackhalo.info/)
00:02:13	102004/102004	---M--	200	added ('OK')	image/jpeg	etag:%225fcfd7921fabd01:0%22	http://davtonia.com/blackhalo/wp-content/uploads/2014/06/Showcase.jpg	C:/My%20Web%20Sites/BlackHalo/davtonia.com/blackhalo/wp-content/uploads/2014/06/Showcase.jpg	(from http://blackhalo.info/)
